pr_number,delay_probability,delay_prediction,delay_prediction_confidence,delay_prediction_threshold,delay_prediction_model_name
4445,0.2840873733740688,0,0.7159126266259312,0.75,logistic_candidate_07
4461,0.360783822674077,0,0.6392161773259231,0.75,logistic_candidate_07
4469,0.24425165175512542,0,0.7557483482448746,0.75,logistic_candidate_07
4479,0.9667043202869392,1,0.9667043202869392,0.75,logistic_candidate_07
4491,0.12542433285645116,0,0.8745756671435488,0.75,logistic_candidate_07
4497,0.06181919152846416,0,0.9381808084715358,0.75,logistic_candidate_07
4511,0.08832958250205758,0,0.9116704174979424,0.75,logistic_candidate_07
4515,0.030546327502640223,0,0.9694536724973598,0.75,logistic_candidate_07
4534,0.9309887651201649,1,0.9309887651201649,0.75,logistic_candidate_07
4560,0.415083697691089,0,0.584916302308911,0.75,logistic_candidate_07
4577,0.7756954009933129,1,0.7756954009933129,0.75,logistic_candidate_07
4591,0.22807790574234427,0,0.7719220942576557,0.75,logistic_candidate_07
4610,0.9437931146499283,1,0.9437931146499283,0.75,logistic_candidate_07
4624,0.27249959313443417,0,0.7275004068655658,0.75,logistic_candidate_07
4645,0.3561499078294161,0,0.6438500921705839,0.75,logistic_candidate_07
4662,0.41705179164598627,0,0.5829482083540137,0.75,logistic_candidate_07
4665,0.026914564401021943,0,0.9730854355989781,0.75,logistic_candidate_07
4675,0.05383422797599228,0,0.9461657720240078,0.75,logistic_candidate_07
4685,0.20652580378867028,0,0.7934741962113298,0.75,logistic_candidate_07
4694,0.00864285623639534,0,0.9913571437636046,0.75,logistic_candidate_07
4721,0.33431873335029094,0,0.6656812666497091,0.75,logistic_candidate_07
4748,0.034445292287308936,0,0.965554707712691,0.75,logistic_candidate_07
4758,0.04899418413856535,0,0.9510058158614346,0.75,logistic_candidate_07
4783,0.35689193831449495,0,0.643108061685505,0.75,logistic_candidate_07
4821,0.12985632398085417,0,0.8701436760191459,0.75,logistic_candidate_07
4833,0.9125731071800656,1,0.9125731071800656,0.75,logistic_candidate_07
4835,0.10497420884482635,0,0.8950257911551737,0.75,logistic_candidate_07
4847,0.9472094606549784,1,0.9472094606549784,0.75,logistic_candidate_07
4862,0.3421003117727756,0,0.6578996882272243,0.75,logistic_candidate_07
4882,0.2664035216389657,0,0.7335964783610343,0.75,logistic_candidate_07
4899,0.42226332844271536,0,0.5777366715572847,0.75,logistic_candidate_07
4913,0.18561220027984598,0,0.8143877997201541,0.75,logistic_candidate_07
4921,0.6864571057157972,0,0.3135428942842028,0.75,logistic_candidate_07
4926,0.21476623329520278,0,0.7852337667047973,0.75,logistic_candidate_07
4933,0.3095047645635072,0,0.6904952354364928,0.75,logistic_candidate_07
4943,0.02531153829274409,0,0.9746884617072559,0.75,logistic_candidate_07
4958,0.25134100613885724,0,0.7486589938611428,0.75,logistic_candidate_07
4966,0.08920349940613387,0,0.9107965005938661,0.75,logistic_candidate_07
4972,0.21674702575574312,0,0.7832529742442569,0.75,logistic_candidate_07
4995,0.00017936257416371142,0,0.9998206374258363,0.75,logistic_candidate_07
5005,0.027423586576633362,0,0.9725764134233666,0.75,logistic_candidate_07
5024,0.12853819639715777,0,0.8714618036028422,0.75,logistic_candidate_07
5037,0.14444385730692585,0,0.8555561426930741,0.75,logistic_candidate_07
5038,0.042553663562458835,0,0.9574463364375412,0.75,logistic_candidate_07
5053,0.18612063495769476,0,0.8138793650423053,0.75,logistic_candidate_07
5066,0.20154689938518455,0,0.7984531006148154,0.75,logistic_candidate_07
5077,0.12170640670942513,0,0.8782935932905749,0.75,logistic_candidate_07
